sphere_id,r_mm,r_m,n,vt_avg,vt_std,eta_avg,eta_std,Re_avg,R2_avg
esfera1,3.0,0.003,1,0.19406439993908572,,0.6673383677822952,,2.1757925371045355,0.9751430576351757
esfera2,4.0,0.004,1,0.3177972428077444,,0.7244681826035111,,4.3761001109211355,0.9822417073303502
esfera3,5.0,0.005,1,0.4692307019810264,,0.7666604280464998,,7.632201480142789,0.9848194665684947
