angle_id,a_sin,a_con,F_aire
1,-0.016876970957714392,0.06517053504091389,-0.01935500666507641
2,-0.12424624681070925,0.05111523516598688,-0.04136777359830262
3,-0.39976302457628127,-0.07515024472728193,-0.07657615476637894
